Concern,body,title
"I don’t even know if I have the ability to type this, I can’t think straight.  I’m really falling apart, my depression has gotten so deep.   I don’t want to go anywhere or do anything.   I don’t leave my room.   My outlook on life is terrible.  I’ve completely lost interest in everything.  when I’m not feeling totally depressed my anxiety will be intolerable.  I have a six year old son that loves me and I love him so much that I never see. and  a 15 year old daughter that doesn’t seem to want to see me.  I wait for the days to end. I don’t know how much of this I can do anymore.  if I’m out I just want to go back into my room.   I’m deeply sad… the room I live in I have been here two months and still haven’t unpacked.  I was going on walks but I can’t seem to find the courage to do that.  I’m terribly lonely but I’m not trying to have anyone around, I would want to try and be by myself I don’t understand.  the only person I feel like can help me is me.  I’m afraid I’m too exhausted to try.  ",but you are trying....you are taking the 1st steps...talking about it and seeing what you can do to make it better...just don't give up...keep fighting...hope is sometimes all we have...,very depressed 
"I don’t even know if I have the ability to type this, I can’t think straight.  I’m really falling apart, my depression has gotten so deep.   I don’t want to go anywhere or do anything.   I don’t leave my room.   My outlook on life is terrible.  I’ve completely lost interest in everything.  when I’m not feeling totally depressed my anxiety will be intolerable.  I have a six year old son that loves me and I love him so much that I never see. and  a 15 year old daughter that doesn’t seem to want to see me.  I wait for the days to end. I don’t know how much of this I can do anymore.  if I’m out I just want to go back into my room.   I’m deeply sad… the room I live in I have been here two months and still haven’t unpacked.  I was going on walks but I can’t seem to find the courage to do that.  I’m terribly lonely but I’m not trying to have anyone around, I would want to try and be by myself I don’t understand.  the only person I feel like can help me is me.  I’m afraid I’m too exhausted to try.  ","Getting into therapy (psychotherapy, cognitive behavor therapy, or a number of others) could really help, along with medication. I was right where you are a few years back, and although I'm not at 100%, life is much better.  Good luck to you.",very depressed 
"Is this PTSD? ,Last week a special word lead me to a very painful drama far in the past that hasnt been thought of in many years., Now memories and images repeat and all the painful is ever present with each image. Brain wants to process, so the painful emotions and tears return. ,Im taking Zoloft early AM , and recently Seroquel at night.  Wellbutin and Buspar for anxiety and depression daytime. ,Cannabis seems  to block obsessions and intrusive thoughts, but the triggering imagery get more prominant, and I get lost in narratives and reveries until I am crying again. ,  Sometimes, I find myself sort of role playing in the past drama. ,If this is truly PTSD, what further should I do?  Diff meds?  (please, no spritual advice, this def is psychopharm)","Hi kainasar, I am sorry your distressing memories came back with such a force, that is terrible and I feel for you. We can't be sure if it is PTSD. You can look it up in DSM 5 tosee the diagnostic criteria. Here is a link from Veteran's Affairs that I use as a reference: ""Symptoms last more than one month"" I think any professional would look at the situation as a whole and the background to make that assessment.  Intrusive thoughts are terrible and it is tough on your own, processing those memories. Crying is helpful to release the emotions somewhat.  If it continues, you might need to reach out to a therapist.  Do you have any grounding techniques that help?  We are all unique and there isn't one thing that works for all of us...",the keyword
"Is this PTSD? ,Last week a special word lead me to a very painful drama far in the past that hasnt been thought of in many years., Now memories and images repeat and all the painful is ever present with each image. Brain wants to process, so the painful emotions and tears return. ,Im taking Zoloft early AM , and recently Seroquel at night.  Wellbutin and Buspar for anxiety and depression daytime. ,Cannabis seems  to block obsessions and intrusive thoughts, but the triggering imagery get more prominant, and I get lost in narratives and reveries until I am crying again. ,  Sometimes, I find myself sort of role playing in the past drama. ,If this is truly PTSD, what further should I do?  Diff meds?  (please, no spritual advice, this def is psychopharm)",kainasar I'm sorry your memories have resurfaced and you are struggling and in emotional pain  Nathalie99 has given you the information you need to get a proper diagnosis. I can tell you from first hand experience that traumas can get pushed back in our memory and resurface at any time.  You mention you are on Zoloft.  Is your prescriber a therapist or a psychiatrist?  There are many types of therapy that can help you process your trauma.  You can learn coping skills to get through this.  I'm sending you positive vibes  🐬,the keyword
"Is this PTSD? ,Last week a special word lead me to a very painful drama far in the past that hasnt been thought of in many years., Now memories and images repeat and all the painful is ever present with each image. Brain wants to process, so the painful emotions and tears return. ,Im taking Zoloft early AM , and recently Seroquel at night.  Wellbutin and Buspar for anxiety and depression daytime. ,Cannabis seems  to block obsessions and intrusive thoughts, but the triggering imagery get more prominant, and I get lost in narratives and reveries until I am crying again. ,  Sometimes, I find myself sort of role playing in the past drama. ,If this is truly PTSD, what further should I do?  Diff meds?  (please, no spritual advice, this def is psychopharm)",You could probably benefit from finding a therapist that specializes in treating trauma so you can process the painful emotions which will allow you to heal.  Mine used emdr therapy which was very helpful.  Weed and meds can only help so much but the trauma emotions will still be there and continue to cause you suffering until you deal with them.,the keyword
"Is this PTSD? ,Last week a special word lead me to a very painful drama far in the past that hasnt been thought of in many years., Now memories and images repeat and all the painful is ever present with each image. Brain wants to process, so the painful emotions and tears return. ,Im taking Zoloft early AM , and recently Seroquel at night.  Wellbutin and Buspar for anxiety and depression daytime. ,Cannabis seems  to block obsessions and intrusive thoughts, but the triggering imagery get more prominant, and I get lost in narratives and reveries until I am crying again. ,  Sometimes, I find myself sort of role playing in the past drama. ,If this is truly PTSD, what further should I do?  Diff meds?  (please, no spritual advice, this def is psychopharm)",Thanks!,the keyword
"I switched from Sertraline to Wellbutrin. I didn't think it was affecting me negatively but didn't want to take any chance in my search to lessen my RLS symptoms. But I think Sertraline helped depression but also OCD tendencies. ,What is the best OCD med for a person with RLS too ? ","It took me years to discover my SSRI (citalopram) aggravated my RLS. For a while I used Wellbutrin (bupropion) but it has a strong stimulant effect on me (agitation). According to several postings in this forum the following are possible meds to look into for yourself - I do not have any personal experience with any of these drugs. Moclobemide (MAO inhibitor); reboxetine (not available in the US), tianeptine (not available in the US); agomelatine; Trazodone; Norpramin (desipramine).",Ocd 
"Hi I'm currently on citraphram I uped my dose nearly 4 weeks ago but my anxiety has got so much worse ,the doc has now said to drop to 20mg and take martizapine at night has any one been on them together I'm so scared to come dwn on my meds I have bad health anxiety thank you nickola","I found that escitalopram, a very similar med (different variation of the same active ingredient as citalopram) made my anxiety worse as well, so I ended up going off it and am now trying a new med in it's place. I also take mirtazapine at night and found it helps with sleep and definitely got me out of the worst depression I've ever been in. Taking those two together is not uncommon. Unfortunately, finding the right med or combination of meds can be very hit or miss and take time.",Anxiety
Hi I am posting to see if anyone else has a similar story with anxiety and maybe see if anyone can give some guidance. I grew up in a very toxic (mentally and physically abusive) household. I was diagnosed with depression and anxiety at 17 after a DUI arrest and was taking medication for about a year then stopped cold turkey. I did not do any additional therapy until about 4 years ago at 36 years old. I have been in therapy and couples counseling on and off since then and have been taking sertaline for about 1.5 years. The medication helps but I find when things start piling up I become very short fused and very nasty anger comes out. The techniques I learned in therapy help with the day to day small problems but when the explosion of anger is happening from the compiled stuff the techniques do not help. I was hoping someone else has experienced the anger and rage that comes with anxiety and may help with some input with tools that have helped them.,Sorry you are going through this! I don't have any great insight..just wanted to let you know that you are not alone!,anxiety 
Hi I am posting to see if anyone else has a similar story with anxiety and maybe see if anyone can give some guidance. I grew up in a very toxic (mentally and physically abusive) household. I was diagnosed with depression and anxiety at 17 after a DUI arrest and was taking medication for about a year then stopped cold turkey. I did not do any additional therapy until about 4 years ago at 36 years old. I have been in therapy and couples counseling on and off since then and have been taking sertaline for about 1.5 years. The medication helps but I find when things start piling up I become very short fused and very nasty anger comes out. The techniques I learned in therapy help with the day to day small problems but when the explosion of anger is happening from the compiled stuff the techniques do not help. I was hoping someone else has experienced the anger and rage that comes with anxiety and may help with some input with tools that have helped them.,"Your story sounds somewhat familiar to my own, I also grew up in an emotionally and physically abusive household and was bullied in school and consequently developed social anxiety and high functioning anxiety disorder.  I did therapy and was on medication for the anxiety but continued to have it, then realized I had social anxiety and did a program for it but still continued to struggle.  I then found out about c-ptsd/trauma and realized I was dealing with it and the shame and anger and rage from my childhood.  I had been shamed and punished for showing any signs of being proud of myself or trying to stand up for myself and even expressing normal, healthy anger.  I found a therapist that specialized in treating trauma/c-ptsd who used emdr as part of the therapy.  It really helped me to get in touch with my repressed anger, shame and other emotions and process and heal them and my anxiety level really decreased.  My therapist spent time initially getting to trust him and feel safe and  comfortable opening up and getting in contact with my repressed emotions to be able to process them.",anxiety 
I've suffered with bipolar disorder for the last 15 years. After 7 years in remission it is back with a debilitating depression and is now coupled with extreme panic disorder.  Has anyone had a good experience with a residential treatment preferably in the North East? ,"I come from the New York area and I do know that there is a major psychiatric facility in Westchester.  It is a part of Weil Cornell hospital (which is in NYC). I am not sure of the exact name, but it should be easy to find on Google or on the Cornell Medical Center Site.  They do have a very good reputation.  One of my son's roommates in college ended up with very severe mental health issues.  He was there for several months and was successfully treated.",Finding the right Treatment Facility
I've suffered with bipolar disorder for the last 15 years. After 7 years in remission it is back with a debilitating depression and is now coupled with extreme panic disorder.  Has anyone had a good experience with a residential treatment preferably in the North East? ,Thanks for your feedback.  At this point if it was a good impatient facility I would consider the SE.  Please lmk if you had a good experience with one.,Finding the right Treatment Facility
"Recently dignosed with bipolar 2, possibly bipolar 3 as of a couple weeks ago as opinion from a new psychiatrist. Struggling with the mood swings lately every couple weeks that I cannot handle. This condition is just awful. In addition to my anxiety and panic, now I deal with depression too and menopause. Wow! I've got to find some strength somewhere to deal with this. Anyone out there who can give me some advice?",Almost every woman goes through menopause so we have a connection to hot women all over the planet.  That idea helped me a little.,Need support
"Recently dignosed with bipolar 2, possibly bipolar 3 as of a couple weeks ago as opinion from a new psychiatrist. Struggling with the mood swings lately every couple weeks that I cannot handle. This condition is just awful. In addition to my anxiety and panic, now I deal with depression too and menopause. Wow! I've got to find some strength somewhere to deal with this. Anyone out there who can give me some advice?","Easy does itBe kind to yourself.  This too shall pass One day at a time Look for the good Stay connected with others Reach out Be still Breath Find peace Meditate Listen to music Read for enjoyment if possible Draw or scribble, color, create Walk if possible Be true to yourself Love thy self with all thy heart Focus Take your medication if prescribed Keep your doctor appoints Be open and upfront and honest with your doctor's Seek counseling Reach out to support groups.  If one doesn't work, try another You are enough You will learn to live through this challenge as you have lived through other challenges.  With your own love and the support and love of others. Always know, You are not alone in your travels.  We are here too for support and love to you!!❤️ Some slogans were taken from 12 step programs of many kinds.",Need support
Hi there can anyone tell me if they have ever suffered with akathesia  will you please let me know  thanks,"Hi beaubeau13,  I have not had it myself but I know of it through patients I've seen with these symptoms.  I am not a doctor or therapist but have seen it in both an heavy alcohol dependent person  as well as someone coming off certain medications. I'm sorry  you are going through this but it is in your best interest and safety in talking with your physician regarding these symptoms.  People usually don't know they are doing it as it becomes a habit not out of restlessness but can be neurologically caused. I hope you get the answers you need as well as the support through your medical doctors.   My best     xx",Anxiety
Hi there can anyone tell me if they have ever suffered with akathesia  will you please let me know  thanks,"I have yes, it happened a week or so after I increased my dose of quetiapine. Luckily reducing the dose again relieved it. It was very strange, I had the same movement as one sometimes sees in people with Parkinson's. An uncontrollable need to twitch, move my legs and body, rock from side to side, move my face. It was very uncomfortable. The only thing that really made it feel better was walking. After I reduced the dose it disappeared completely.",Anxiety
Hi there can anyone tell me if they have ever suffered with akathesia  will you please let me know  thanks,"It sounds like it is not akathesia actually, it sounds like withdrawal symptoms. You may need to taper more slowly. Often tapering needs to be done over several weeks or months at small steps down of the dose.Do you think this might be the cause?",Anxiety
"hi all,,I’m sure you all are going through anxiety and depression otherwise you wouldn’t be here. I hope some one answers me and gives me some advice. I’m single and live alone after my divorce that I have 3 beautiful children from. I am civil with my ex wife, but I don’t really have any close close friends rather acquaintances from work or people I’m not close with. I’m close with my parents and I do feel alone and uncertain with my life and where I want to be. I want to be with a woman that will be my rock but don’t know where to start because I’m not overly charming and I do enjoy talking to people but have been rejected when asking women out at times. I feel I’m missing that love of my life and want to have that. I don’t want to be alone the rest of my life and it causes me anxiety and uncertainty and depression. Any suggestions would be helpful and greatly appreciated. Thank you all and God Bless.,","Loneliness is one of the hardest things to go through. Very good to be close to your parents. I am speaking from my experience with a divorce. Very difficult to go through the grief, guilt and anxiety, but no way to rush it. Better to get through the process. Getting in too much of a hurry to find the one person you can love, so you won't be lonely anymore,  might lead you to the wrong person. I am older than you are. When I was your age, I didn't know it, but I still had a lot of future to find new friends, new jobs, new insights and opportunities to make changes. You aren't alone here at Health unlocked and will probably get a lot more and better answers.",52 year old lonely man depressed and uncertainty 
"hi all,,I’m sure you all are going through anxiety and depression otherwise you wouldn’t be here. I hope some one answers me and gives me some advice. I’m single and live alone after my divorce that I have 3 beautiful children from. I am civil with my ex wife, but I don’t really have any close close friends rather acquaintances from work or people I’m not close with. I’m close with my parents and I do feel alone and uncertain with my life and where I want to be. I want to be with a woman that will be my rock but don’t know where to start because I’m not overly charming and I do enjoy talking to people but have been rejected when asking women out at times. I feel I’m missing that love of my life and want to have that. I don’t want to be alone the rest of my life and it causes me anxiety and uncertainty and depression. Any suggestions would be helpful and greatly appreciated. Thank you all and God Bless.,","Hello, I am going through a divorce right now. When I first contemplated divorce I only had work associates too. Through a lot of work on my part, and sharing some of my personal life, a few of these acquaintances have become friends. I have a hard time trusting people so it was difficult to share things with people.  My anxiety made me feel so awkward around them and the voice in my head kept telling me they don’t want to hear your sad story. But I soon found out that they did. I also have friends on this website.  I just moved to a new apartment and fear the day that loneliness creeps in. I was very lonely in my marriage and often looked to him for comfort and didn’t get it. Now I have to look to myself. Which is a work in progress. People say that you shouldn’t jump into any relationships quickly. Since my self esteem was in the toilet and I married very young, I had no experience dating. What has helped me is a dating app. I use Bumble. They have virtual speed dating several nights per week. If I am lonely, I look forward to that. I don’t necessarily meet up with anyone but it helps me work on my social skills making small talk with men. I was never complimented in my marriage. To have men “like” me through the app gives me confidence I won’t be alone forever.  There are a lot of emotions that go along with dating apps so be prepared. People do ghost you, so you have to be ready for that, meaning you might talk to them and they will be gone the next time you look for them in the app. You have to look at it as if well at least I didn’t waste actual time on them. And then there are people who you might match with and they never chat with you. They just like knowing they have lots of people who want to talk to them but have no intention of acting on it.  Some people are only interested in some version of sex so I stay away from them. I am careful what information I give out so someone cannot figure out my identity. I wouldn’t necessarily use it to find your soul mate but it does help with the loneliness.",52 year old lonely man depressed and uncertainty 
"hi all,,I’m sure you all are going through anxiety and depression otherwise you wouldn’t be here. I hope some one answers me and gives me some advice. I’m single and live alone after my divorce that I have 3 beautiful children from. I am civil with my ex wife, but I don’t really have any close close friends rather acquaintances from work or people I’m not close with. I’m close with my parents and I do feel alone and uncertain with my life and where I want to be. I want to be with a woman that will be my rock but don’t know where to start because I’m not overly charming and I do enjoy talking to people but have been rejected when asking women out at times. I feel I’m missing that love of my life and want to have that. I don’t want to be alone the rest of my life and it causes me anxiety and uncertainty and depression. Any suggestions would be helpful and greatly appreciated. Thank you all and God Bless.,","Embrace the aloneness that's what my therapist said and I agree , no one's life is perfect live to lend a hand rather than taking life sad I know it's awful being alone n it's brave to reach out here , best wishes",52 year old lonely man depressed and uncertainty 
